ground,country
Aberdeen,na
Abu Dhabi,na
Adelaide,Australia
Ahmedabad,India
Amritsar,India
Amstelveen,na
Auckland,na
Ayr,na
Basseterre,na
Belfast,na
Bengaluru,India
Benoni,na
Birmingham,na
Bloemfontein,na
Bogra,na
Bridgetown,na
Brisbane,Australia
Bristol,na
Bulawayo,na
Cairns,Australia
Canberra,Australia
Canterbury,na
Cape Town,na
Cardiff,na
Centurion,na
Chandigarh,India
Chattogram,na
Chennai,India
Chester-le-Street,na
Chittagong,na
Christchurch,na
Colombo (PSS),na
Colombo (RPS),na
Colombo (SSC),na
Cuttack,India
Dambulla,na
Darwin,Australia
Delhi,India
Dhaka,na
Dharamsala,India
Dubai (DSC),na
Dublin,na
Dublin (Malahide),na
Dunedin,na
Durban,na
East London,na
Edinburgh,na
Faisalabad,na
Faridabad,India
Fatullah,na
Galle,na
Georgetown,na
Glasgow,na
Greater Noida,India
Gros Islet,na
Gujranwala,na
Guwahati,India
Gwalior,India
Hambantota,na
Hamilton,na
Harare,na
Hobart,Australia
Hyderabad (Deccan),India
Hyderabad (Sind),na
ICCA Dubai,na
Indore,India
Jaipur,India
Jalandhar,India
Jamshedpur,India
Jodhpur,India
Johannesburg,na
Kandy,na
Kanpur,India
Karachi,na
Khulna,na
Kimberley,na
King City (NW),na
Kingston,na
Kingstown,na
Kochi,na
Kolkata,India
Kuala Lumpur,na
Kwekwe,na
Lahore,na
Leeds,na
Lincoln,na
Lord's,na
Lucknow,India
Manchester,na
Margao,India
Melbourne,Australia
Melbourne (Docklands),Australia
Mohali,India
Mombasa,na
Mong Kok,na
Mount Maunganui,na
Multan,na
Mumbai,India
Mumbai (BS),India
Nagpur,India
Nairobi,na
Nairobi (Gym),na
Nairobi (Jaff),na
Nairobi (Ruaraka),na
Napier,na
Nelson,na
New Delhi,India
North Sound,na
Nottingham,na
Paarl,na
Pallekele,na
Patna,India
Perth,Australia
Peshawar,na
Pietermaritzburg,na
Port Elizabeth,na
Port Moresby,na
Port of Spain,na
Potchefstroom,na
Providence,na
Pune,India
Queenstown,na
Rajkot,India
Ranchi,India
Rawalpindi,na
Roseau,na
Rotterdam,na
Schiedam,na
Sharjah,na
Sheikhupura,na
Singapore,na
Southampton,na
Srinagar,India
St George's,na
St John's,na
Sydney,Australia
Sylhet ,na
Tangier,na
Taupo,na
The Hague,na
The Oval,Australia
Thiruvananthapuram,India
Toronto,na
Townsville,na
Vadodara,India
Vijayawada,India
Visakhapatnam,India
Wellington,na
Whangarei,na
